;CLIENTNUM;Total_Trans_Amt;Total_Amt_Chng_Q4_Q1;Total_Ct_Chng_Q4_Q1;Total_Trans_Ct;Total_Revolving_Bal;Attrition_Flag
0;768805383;1144;1.335;1.625;42;777;0
1;818770008;1291;1.541;3.714;33;864;0
2;713982108;1887;2.594;2.333;20;0;0
3;769911858;1171;1.405;2.333;20;2517;0
4;709106358;816;2.175;2.5;28;0;0
5;713061558;1088;1.376;0.846;24;1247;0
6;810347208;1330;1.975;0.722;31;2264;0
7;818906208;1538;2.204;0.714;36;1396;0
8;710930508;1350;3.355;1.182;24;2517;0
9;719661558;1441;1.524;0.882;32;1677;0
10;708790833;1201;0.831;0.68;42;1467;0
11;710821833;1314;1.433;1.364;26;1587;0
12;710599683;1539;3.397;3.25;17;0;0
13;816082233;1311;1.163;2;33;1666;0
14;712396908;1570;1.19;0.611;29;680;0
15;714885258;1348;1.707;1.7;27;972;0
16;709967358;1671;1.708;0.929;27;2362;0
17;753327333;1028;0.653;1.625;21;1291;0
18;806160108;1336;1.831;1.143;30;2517;0
19;709327383;1207;0.966;0.909;21;1157;0
20;806165208;1178;0.906;0.929;27;1800;0
21;708508758;692;1.047;0.6;16;0;1
22;784725333;931;1.608;1.571;18;680;0
23;811604133;1126;0.573;0.353;23;1560;0
24;789124683;1110;1.075;0.75;21;0;0
25;771071958;1051;0.797;0.833;22;1669;0
26;720466383;1197;0.921;1.3;23;1374;0
27;804424383;1904;0.843;1;40;1010;0
28;718813833;1052;0.525;1.571;18;0;0
29;806624208;1045;0.739;0.9;38;1362;0
30;778348233;1038;0.977;2.571;25;1811;0
31;712991808;1596;1.323;1.6;26;1690;0
32;709029408;1589;1.726;1.667;24;2517;0
33;788658483;1411;1.75;1;28;1490;0
34;787937058;1291;0.519;0.714;24;1696;0
35;715318008;1407;0.51;0.483;43;1914;0
36;713962233;1877;1.724;1.176;37;2298;0
37;785432733;966;0.865;1.2;22;0;0
38;715190283;1464;1.32;0.556;28;886;0
39;708300483;704;1.052;0.143;16;605;1
40;827111283;1109;1.042;0.474;28;578;0
41;758551608;1347;0.803;0.556;28;2204;0
42;773146383;1756;1.449;1.2;33;2517;0
43;778493808;1756;1.214;1;32;0;0
44;720572508;1042;0.977;0.917;23;2055;0
45;712661433;1444;1.621;1.333;28;0;0
46;789172683;1741;2.316;0.588;27;1430;0
47;738406533;1719;2.357;1.7;27;2020;0
48;799723908;1217;0.787;0.8;27;1435;0
